Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Artisan name (product.metafields.pexx.artisan_name),Bedding size (product.metafields.shopify.bedding-size),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Warmth level (product.metafields.shopify.warmth-level),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pony-trail-print-kids-quilt,Pony Trail Print Reversible Cotton Quilt (Razai),"<p>Little ponies trot across this quilt in their own tiny jackets — the kind of print a child who loves anything with four legs won't want to put down.</p><p>Block-printed with little ponies wearing tiny jackets, trotting across a sage-teal ground, finished with a citrus-lime striped edge. Made from soft cotton voile with a hand-quilted cotton fill and skin-safe, azo-free dyes — gentle enough for daily use from day one.</p><p>It works as a full kids quilt for younger children, and just as well as a stroller blanket, play mat, or nursery décor throw — then a lightweight travel or AC blanket as your child grows, from newborn to the early teens.</p><p>Hand block-printed in Jaipur, one wooden block pressed at a time, so no two quilts carry quite the same pony — flip it over for a coordinating teal-and-white stripe. 110 x 150 cm.</p>",PEXX,Home & Garden > Linens & Bedding > Bedding > Quilts & Comforters,Quilt,"Baby, Kids, Newborn, Toddler, occ-new-baby, occ-naming, occ-birthday",true,Title,Default Title,,,,,,,,QUI-PNY-SGL,0.0,shopify,5,deny,manual,1299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/1.1.jpg,1,Pony Trail print hand block-printed reversible cotton voile kids quilt (razai) – hero/folded,false,Pony Trail Print Kids Quilt / Razai | Jaipur Cotton Voile – PEXX,"Sage-teal pony trail razai (kids quilt) in cotton voile, hand block-printed & reversible from Jaipur. Skin-safe, azo-free. 110x150cm, newborn–14yrs.",,single,hand-wash; machine-washable,,cotton,lightweight-summer,,,,,,kg,,,active
pony-trail-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/1.2.jpg,2,Pony Trail print hand block-printed reversible cotton voile kids quilt (razai) – lifestyle - bed,,,,,,,,,,,,,,,,,,
pony-trail-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/1.3.jpg,3,Pony Trail print hand block-printed reversible cotton voile kids quilt (razai) – lifestyle - play mat,,,,,,,,,,,,,,,,,,
pony-trail-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/1.4.jpg,4,Pony Trail print hand block-printed reversible cotton voile kids quilt (razai) – print detail close-up,,,,,,,,,,,,,,,,,,
pony-trail-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/1.5.jpg,5,Pony Trail print hand block-printed reversible cotton voile kids quilt (razai) – reverse side,,,,,,,,,,,,,,,,,,
pony-trail-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/1.6.jpg,6,Pony Trail print hand block-printed reversible cotton voile kids quilt (razai) – additional lifestyle,,,,,,,,,,,,,,,,,,
pony-trail-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/1.7.jpg,7,Pony Trail print hand block-printed reversible cotton voile kids quilt (razai) – additional detail,,,,,,,,,,,,,,,,,,
rainbow-meadow-print-kids-quilt,Rainbow Meadow Print Reversible Cotton Quilt (Razai),"<p>Rainbows arc between butterflies and tiny hearts on this cream quilt — pure daydream material for a child who chases both.</p><p>Block-printed with rainbows, butterflies and tiny hearts scattered across a cream ground, finished with a warm mustard striped edge. Made from soft cotton voile with a hand-quilted cotton fill and skin-safe, azo-free dyes — gentle enough for daily use from day one.</p><p>It works as a full kids quilt for younger children, and just as well as a stroller blanket, play mat, or nursery décor throw — then a lightweight travel or AC blanket as your child grows, from newborn to the early teens.</p><p>Hand block-printed in Jaipur, one wooden block pressed at a time, so no two quilts carry quite the same rainbow — flip it over for a coordinating mustard polka-dot print. 110 x 150 cm.</p>",PEXX,Home & Garden > Linens & Bedding > Bedding > Quilts & Comforters,Quilt,"Baby, Kids, Newborn, Toddler, occ-birthday, occ-new-baby, occ-naming",true,Title,Default Title,,,,,,,,QUI-RBW-SGL,0.0,shopify,5,deny,manual,1299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/2.1.jpg,1,Rainbow Meadow print hand block-printed reversible cotton voile kids quilt (razai) – hero/folded,false,Rainbow Meadow Print Kids Quilt / Razai | Jaipur Cotton Voile – PEXX,"Cream rainbow meadow razai (kids quilt) in cotton voile, hand block-printed & reversible from Jaipur. Skin-safe, azo-free. 110x150cm, newborn–14yrs.",,single,hand-wash; machine-washable,,cotton,lightweight-summer,,,,,,kg,,,active
rainbow-meadow-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/2.2.jpg,2,Rainbow Meadow print hand block-printed reversible cotton voile kids quilt (razai) – lifestyle - bed,,,,,,,,,,,,,,,,,,
rainbow-meadow-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/2.3.jpg,3,Rainbow Meadow print hand block-printed reversible cotton voile kids quilt (razai) – lifestyle - play mat,,,,,,,,,,,,,,,,,,
rainbow-meadow-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/2.4.jpg,4,Rainbow Meadow print hand block-printed reversible cotton voile kids quilt (razai) – print detail close-up,,,,,,,,,,,,,,,,,,
rainbow-meadow-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/2.5.jpg,5,Rainbow Meadow print hand block-printed reversible cotton voile kids quilt (razai) – reverse side,,,,,,,,,,,,,,,,,,
rainbow-meadow-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/2.6.jpg,6,Rainbow Meadow print hand block-printed reversible cotton voile kids quilt (razai) – additional lifestyle,,,,,,,,,,,,,,,,,,
rainbow-meadow-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/2.7.jpg,7,Rainbow Meadow print hand block-printed reversible cotton voile kids quilt (razai) – additional detail,,,,,,,,,,,,,,,,,,
sunshine-print-kids-quilt,Sunshine Print Reversible Cotton Quilt (Razai),"<p>Smiling suns keep watch from every corner of this quilt — flip it over for a second, brighter sun in a different mood, so there's always a sunny side up.</p><p>Block-printed with a simple two-tone orange-and-teal sun motif on a heathered oat ground, finished with a teal chevron-print edge. Made from soft cotton voile with a hand-quilted cotton fill and skin-safe, azo-free dyes — gentle enough for daily use from day one.</p><p>It works as a full kids quilt for younger children, and just as well as a stroller blanket, play mat, or nursery décor throw — then a lightweight travel or AC blanket as your child grows, from newborn to the early teens.</p><p>Hand block-printed in Jaipur, one wooden block pressed at a time, so no two quilts carry quite the same sun — flip it over for a second, busier multi-colour sun print (with tiny sunglasses) on white. 110 x 150 cm.</p>",PEXX,Home & Garden > Linens & Bedding > Bedding > Quilts & Comforters,Quilt,"Baby, Kids, Newborn, Toddler, occ-new-baby, occ-diwali, occ-naming",true,Title,Default Title,,,,,,,,QUI-SUN-SGL,0.0,shopify,5,deny,manual,1299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/3.1.jpg,1,Sunshine print hand block-printed reversible cotton voile kids quilt (razai) – hero/folded,false,Sunshine Print Kids Quilt / Razai | Jaipur Cotton Voile – PEXX,"Oat-cream sunshine razai (kids quilt) in cotton voile, hand block-printed & reversible from Jaipur. Skin-safe, azo-free. 110x150cm, newborn–14yrs.",,single,hand-wash; machine-washable,,cotton,lightweight-summer,,,,,,kg,,,active
sunshine-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/3.2.jpg,2,Sunshine print hand block-printed reversible cotton voile kids quilt (razai) – lifestyle - bed,,,,,,,,,,,,,,,,,,
sunshine-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/3.3.jpg,3,Sunshine print hand block-printed reversible cotton voile kids quilt (razai) – lifestyle - play mat,,,,,,,,,,,,,,,,,,
sunshine-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/3.4.jpg,4,Sunshine print hand block-printed reversible cotton voile kids quilt (razai) – print detail close-up,,,,,,,,,,,,,,,,,,
sunshine-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/3.5.jpg,5,Sunshine print hand block-printed reversible cotton voile kids quilt (razai) – reverse side,,,,,,,,,,,,,,,,,,
sunshine-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/3.6.jpg,6,Sunshine print hand block-printed reversible cotton voile kids quilt (razai) – additional lifestyle,,,,,,,,,,,,,,,,,,
sunshine-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/3.7.jpg,7,Sunshine print hand block-printed reversible cotton voile kids quilt (razai) – additional detail,,,,,,,,,,,,,,,,,,
sunshine-print-kids-quilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/3.8.jpg,8,Sunshine print hand block-printed reversible cotton voile kids quilt (razai) – additional angle,,,,,,,,,,,,,,,,,,
