Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,What is it made of? (product.metafields.custom.made_of),What size is it? (product.metafields.custom.size_specs)
unicorn-dolphin-swaddle-set,Unicorn & Dolphin Print Cotton Muslin Swaddle Set (2-Pack),"<p>One side dreams in gold unicorns, the other dives with blue dolphins — two soft muslin swaddles that give your newborn a fresh print for every mood. Each piece measures 110 x 110cm in breathable cotton double-layer muslin, gentle against newborn skin and generous enough for a secure wrap.</p><p>Beyond swaddling, use either piece as a stroller cover, nursing cover, or lightweight blanket as your baby grows — soft, practical, and made to get softer with every wash.</p><p>Hand block-printed in Jaipur, one motif pressed at a time — small variations in the print are the mark of genuine handwork, not a flaw. Dyed with azo-free, skin-safe colours. A set of 2, ready to gift.</p>",PEXX,Baby & Toddler > Nursery > Nursery Bedding,Swaddle,"Baby, Newborn, occ-new-baby, occ-naming, occ-birthday",true,Title,Default Title,,,,,,,,SWD-UNI-DOL-SET,0.0,shopify,5,deny,manual,999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/Swaddle_1.7.jpg,1,Unicorn & Dolphin print hand block-printed cotton muslin baby swaddle set – hero – set together,false,Unicorn & Dolphin Swaddle Set | Cotton Muslin – PEXX,"Unicorn & Dolphin print baby swaddle set, soft double-layer cotton muslin, hand block-printed in Jaipur. Skin-safe, azo-free dyes. 110x110cm each, newborn–3 years. Set of 2.",,kg,,,active,"<p>Made from soft, breathable cotton double-layer muslin, dyed with azo-free colours.</p><ul><li>Fabric: cotton double-layer muslin</li><li>Dyes: azo-free, skin-safe</li></ul><p>Gets softer with every wash.</p>","<p>A generous wrap that grows into a stroller cover, nursing cover, or lightweight blanket.</p><ul><li>Dimensions: 110 x 110cm (each piece)</li><li>Age fit: Newborn – 3 years</li><li>Set of 2</li></ul>"
unicorn-dolphin-swaddle-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/Swaddle_1.1.jpg,2,Unicorn & Dolphin print hand block-printed cotton muslin baby swaddle set – print A on-baby,,,,,,,,,,
unicorn-dolphin-swaddle-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/Swaddle_1.4.jpg,3,Unicorn & Dolphin print hand block-printed cotton muslin baby swaddle set – print B on-baby,,,,,,,,,,
unicorn-dolphin-swaddle-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/Swaddle_1.2.jpg,4,Unicorn & Dolphin print hand block-printed cotton muslin baby swaddle set – print A flat lay,,,,,,,,,,
unicorn-dolphin-swaddle-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/Swaddle_1.5.jpg,5,Unicorn & Dolphin print hand block-printed cotton muslin baby swaddle set – print B flat lay,,,,,,,,,,
unicorn-dolphin-swaddle-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/Swaddle_1.3.jpg,6,Unicorn & Dolphin print hand block-printed cotton muslin baby swaddle set – print A detail,,,,,,,,,,
unicorn-dolphin-swaddle-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/Swaddle_1.6.jpg,7,Unicorn & Dolphin print hand block-printed cotton muslin baby swaddle set – print B detail,,,,,,,,,,
unicorn-dolphin-swaddle-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/Swaddle_1.11.jpg,8,"Unicorn & Dolphin print hand block-printed cotton muslin baby swaddle set – set together, alt view",,,,,,,,,,
bear-circus-animal-swaddle-set,Bear & Circus Animal Print Cotton Muslin Swaddle Set (2-Pack),"<p>A den of coral bears on one swaddle, a parade of circus animals on the other — double the charm for double the cuddles. Each piece measures 110 x 110cm in breathable cotton double-layer muslin, gentle against newborn skin and generous enough for a secure wrap.</p><p>Beyond swaddling, use either piece as a stroller cover, nursing cover, or lightweight blanket as your baby grows — soft, practical, and made to get softer with every wash.</p><p>Hand block-printed in Jaipur, one motif pressed at a time — small variations in the print are the mark of genuine handwork, not a flaw. Dyed with azo-free, skin-safe colours. A set of 2, ready to gift.</p>",PEXX,Baby & Toddler > Nursery > Nursery Bedding,Swaddle,"Baby, Newborn, occ-new-baby, occ-naming, occ-birthday",true,Title,Default Title,,,,,,,,SWD-BER-CIR-SET,0.0,shopify,5,deny,manual,999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/Swaddle_2.5.jpg,1,Bear & Circus Animal print hand block-printed cotton muslin baby swaddle set – hero – set together,false,Bear & Circus Animal Swaddle Set | Cotton Muslin – PEXX,"Bear & Circus Animal print baby swaddle set, soft double-layer cotton muslin, hand block-printed in Jaipur. Skin-safe, azo-free dyes. 110x110cm each, newborn–3 years. Set of 2.",,kg,,,active,"<p>Made from soft, breathable cotton double-layer muslin, dyed with azo-free colours.</p><ul><li>Fabric: cotton double-layer muslin</li><li>Dyes: azo-free, skin-safe</li></ul><p>Gets softer with every wash.</p>","<p>A generous wrap that grows into a stroller cover, nursing cover, or lightweight blanket.</p><ul><li>Dimensions: 110 x 110cm (each piece)</li><li>Age fit: Newborn – 3 years</li><li>Set of 2</li></ul>"
bear-circus-animal-swaddle-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/Swaddle_2.4.jpg,2,Bear & Circus Animal print hand block-printed cotton muslin baby swaddle set – print A on-baby,,,,,,,,,,
