Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,What is it made of? (product.metafields.custom.made_of),What size is it? (product.metafields.custom.size_specs)
green-stripe-toiletry-pouch-set,Green Stripe Print Hand Block-Printed Toiletry Pouch Set (3-Piece),"<p>Crisp green stripes wrap this pouch set for every small thing that needs a home — pencils and hair clips one day, brushes and perfume the next.</p><p>Block-printed on cotton with a green candy-stripe print and matching tasselled zip-pull, quilted with a plastic-lined interior that wipes clean, in three nested sizes — Small (L16 x W11 x H7cm), Medium (L21 x W12 x H11cm), and Large (L24 x W14 x H14cm).</p><p>A genuine four-in-one set: the large pouch works as a toiletry kit or packing cube for a suitcase, the medium as a travel organizer for creams and wipes, and the small as a hair-accessory pouch or coin purse — or hand all three to a toddler as a stationery and toy-sorting kit for crayons, blocks, and cars.</p><p>Hand block-printed in Jaipur, one motif pressed at a time — small variations in the print are the mark of genuine handwork, not a flaw. Dyed with azo-free, skin-safe colours. A set of 3, ready to gift.</p>",PEXX,"Apparel & Accessories > Handbags, Wallets & Cases > Toiletry Bags",Toiletry Pouch Set,"Baby, Kids, Newborn, Toddler, occ-new-baby, occ-birthday, occ-diwali",true,Title,Default Title,,,,,,,,POU-GRN-SET,0.0,shopify,5,deny,manual,1199.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/mp_1.1.jpg,1,"Green Stripe print hand block-printed cotton toiletry pouch set – hero — set together, use 1",false,Green Stripe Toiletry Pouch Set | Cotton Block-Print – PEXX,"Green Stripe print kids toiletry pouch set (3-piece), hand block-printed cotton, plastic-lined. Skin-safe, azo-free dyes. Small/Medium/Large nested set.",,kg,,,active,"<p>Made from quilted cotton with a wipeable plastic-lined interior, dyed with azo-free colours.</p><ul><li>Fabric: cotton, quilted</li><li>Lining: plastic, wipes clean</li><li>Dyes: azo-free, skin-safe</li></ul>",<p>Three nested sizes for every small thing that needs a home.</p><ul><li>Small: L16 x W11 x H7cm</li><li>Medium: L21 x W12 x H11cm</li><li>Large: L24 x W14 x H14cm</li><li>Set of 3</li></ul>
green-stripe-toiletry-pouch-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/mp_1.4.jpg,2,"Green Stripe print hand block-printed cotton toiletry pouch set – set together, use 2 (alt scene)",,,,,,,,,,
green-stripe-toiletry-pouch-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/mp_1.2.jpg,3,Green Stripe print hand block-printed cotton toiletry pouch set – additional angle,,,,,,,,,,
green-stripe-toiletry-pouch-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/mp_1.3.jpg,4,Green Stripe print hand block-printed cotton toiletry pouch set – additional detail,,,,,,,,,,
green-stripe-toiletry-pouch-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/mp_1.5.jpg,5,Green Stripe print hand block-printed cotton toiletry pouch set – additional lifestyle,,,,,,,,,,
green-stripe-toiletry-pouch-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/mp_1.6.jpg,6,Green Stripe print hand block-printed cotton toiletry pouch set – additional lifestyle,,,,,,,,,,
frog-pond-toiletry-pouch-set,Frog Pond Print Hand Block-Printed Toiletry Pouch Set (3-Piece),"<p>A pond full of cheerful frogs turns tooth-brushing time into a small daily delight, and turns packing for a trip into a game.</p><p>Block-printed on cotton with a frog-on-lilypad print and matching yellow tasselled zip-pull, quilted with a plastic-lined interior that wipes clean, in three nested sizes — Small (L16 x W11 x H7cm), Medium (L21 x W12 x H11cm), and Large (L24 x W14 x H14cm).</p><p>A genuine four-in-one set: the large pouch works as a toiletry kit or packing cube for a suitcase, the medium as a travel organizer for creams and wipes, and the small as a hair-accessory pouch or coin purse — or hand all three to a toddler as a stationery and toy-sorting kit for crayons, blocks, and cars.</p><p>Hand block-printed in Jaipur, one motif pressed at a time — small variations in the print are the mark of genuine handwork, not a flaw. Dyed with azo-free, skin-safe colours. A set of 3, ready to gift.</p>",PEXX,"Apparel & Accessories > Handbags, Wallets & Cases > Toiletry Bags",Toiletry Pouch Set,"Baby, Kids, Newborn, Toddler, occ-new-baby, occ-birthday, occ-diwali",true,Title,Default Title,,,,,,,,POU-FRG-SET,0.0,shopify,5,deny,manual,1199.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/mp_2.1.jpg,1,"Frog Pond print hand block-printed cotton toiletry pouch set – hero — set together, use 1",false,Frog Pond Toiletry Pouch Set | Cotton Block-Print – PEXX,"Frog Pond print kids toiletry pouch set (3-piece), hand block-printed cotton, plastic-lined. Skin-safe, azo-free dyes. Small/Medium/Large nested set.",,kg,,,active,"<p>Made from quilted cotton with a wipeable plastic-lined interior, dyed with azo-free colours.</p><ul><li>Fabric: cotton, quilted</li><li>Lining: plastic, wipes clean</li><li>Dyes: azo-free, skin-safe</li></ul>",<p>Three nested sizes for every small thing that needs a home.</p><ul><li>Small: L16 x W11 x H7cm</li><li>Medium: L21 x W12 x H11cm</li><li>Large: L24 x W14 x H14cm</li><li>Set of 3</li></ul>
frog-pond-toiletry-pouch-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/mp_2.4.jpg,2,"Frog Pond print hand block-printed cotton toiletry pouch set – set together, use 2 (alt scene)",,,,,,,,,,
frog-pond-toiletry-pouch-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/mp_8.1.jpg,3,Frog Pond print hand block-printed cotton toiletry pouch set – additional angle,,,,,,,,,,
frog-pond-toiletry-pouch-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/mp_8.4.jpg,4,Frog Pond print hand block-printed cotton toiletry pouch set – additional detail,,,,,,,,,,
