Occasion / Event,Gift Idea (from PEXX range),Price Range (per unit, bulk)
Kids birthday party return gifts,Mini quilted drawstring pouch,₹150 – 300
Naming ceremony / godh bharai return favors,Small quilted pouch or muslin handkerchief set,₹150 – 350
School gifting (annual day, graduation, Teacher's Day),Pencil pouch or small tote,₹150 – 300
Adult milestone birthday / anniversary return gifts,Block-print scarf or stole (adult palette),₹250 – 450
Wedding — welcome hampers,Fabric hamper tote + inner pouch,₹350 – 600
Wedding — haldi favors,Potli in marigold/yellow palette,₹150 – 300
Wedding — mehendi favors,Potli in bright mela palette,₹150 – 300
Wedding — sangeet favors,Potli in jewel-tone palette,₹150 – 300
Wedding — baraat entry,Swagat stole / dupatta (fabric length, hemmed),₹200 – 400
Wedding — reception table linen,Table runner + napkin set (per table),₹800 – 1,500
Wedding — return gifts,"Pouch, or pouch + quilted throw for premium tier",₹300 – 700
Wedding — kids at the wedding,Quilted activity/goodie pouch for guest children,₹200 – 400
Wedding — bridal circle,3-piece toiletry pouch set,₹800 – 1,200
Corporate — Diwali / client hamper,Boxed pouch + table runner/coasters + card,₹600 – 1,200
Corporate — onboarding/welcome kit,Tote + pouch + welcome card,₹400 – 700
Corporate — new-parent employee gift,Swaddle + quilt set,"₹1,500 – 2,500"
Corporate — event/conference tote,Plain canvas/cotton tote,₹150 – 300
